stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
96e3c350-e0e1-4c7b-9463-94b158a9eed6,1629,Marlington/Grayland Ebnd,160,37.21186,-80.39817,0
97858830-9166-4841-8b89-c6fbc16b6b43,1645,Professional Park Sbnd,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2100,Montgomery County Govt Center,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2101,Republic/Salem,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2102,Park/Hagan,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2103,Park/East,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2104,Depot/Cambria,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2105,Aquatic Center,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2108,Depot/New Wbnd,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2109,W Main/Dunkley Ebnd,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2110,Montgomery County Courthouse,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2111,Roanoke/Evans Ebnd,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2112,Recreation Center,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2113,Simmons/Hammes Nbnd,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2114,Electric Way/Hubbel Wbnd,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2115,Falling Branch Park and Ride,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2116,Roanoke/Hungate Wbnd,818,37.19679,-80.40028,0
97858830-9166-4841-8b89-c6fbc16b6b43,2117,Roanoke/East Wbnd,818,37.19679,-80.40028,0
